ign,club,world_role,data_role,world_overall,new_overall,current_rebuilt,delta,events,rounds_w,new_aim,new_reaction,new_awareness,new_utility,new_clutch,new_teamwork,world_aim,world_reaction,world_awareness,world_utility,world_clutch,world_teamwork,conf_aim,conf_reaction,conf_awareness,conf_utility,conf_clutch,conf_teamwork,flags
OXY,C9,决斗者,决斗者,89,84,88,-5,9,1138,90,84,66,60,87,69,93,96,84,73,91,77,0.74,0.92,0.74,0.74,0.74,0.74,
mazin,FX,先锋,先锋,56,61,56,5,4,176,62,64,64,66,73,62,48,51,52,72,55,55,0.31,0.37,0.31,0.31,0.57,0.31,
Xeppaa,C9,先锋,先锋,83,78,79,-5,8,797,79,74,75,73,72,78,78,73,88,86,83,86,0.67,0.72,0.67,0.67,0.82,0.67,
Spitfires,TEC,决斗者,决斗者,70,65,69,-5,6,757,70,64,67,68,71,66,78,76,62,59,71,60,0.65,0.83,0.65,0.65,0.0,0.65,clutch:no-data
Kada,M8,先锋,控场,75,70,78,-5,3,163,73,75,71,71,62,71,70,72,74,81,74,74,0.29,0.38,0.29,0.29,0.51,0.29,
cortezia,SEN,控场,哨卫,80,75,76,-5,8,1216,79,77,76,68,75,69,83,79,81,81,79,72,0.75,0.85,0.75,0.75,0.89,0.75,
NoMan,XLG,决斗者,决斗者,68,63,65,-5,7,1571,60,62,77,67,70,67,68,74,65,63,71,61,0.8,0.9,0.8,0.8,0.69,0.8,
Kushy,RRQ,先锋,先锋,74,69,70,-5,8,1242,75,66,72,67,70,71,68,67,78,79,73,76,0.76,0.81,0.76,0.76,0.85,0.76,
penny,C9,决斗者,决斗者,72,67,73,-5,5,478,65,65,76,73,62,73,72,78,68,65,76,68,0.54,0.76,0.54,0.54,0.67,0.54,
dos9,KC,控场,控场,91,86,89,-5,6,995,75,85,86,78,81,83,83,83,93,95,92,95,0.71,0.8,0.71,0.71,0.86,0.71,
CLZ,ZETA,控场,先锋,63,68,61,5,3,182,71,72,68,64,84,65,57,61,63,68,64,61,0.31,0.35,0.31,0.31,0.61,0.31,
margaret,QTD,哨卫,哨卫,79,74,79,-5,3,292,76,81,71,63,84,66,82,84,78,76,84,70,0.42,0.6,0.42,0.42,0.69,0.42,
Sylvan,TS,控场,控场,84,79,79,-5,6,877,76,65,70,81,80,79,74,69,83,89,78,87,0.69,0.75,0.69,0.69,0.85,0.69,
PxS,LEV,控场,先锋,66,71,66,5,2,114,69,72,70,70,78,70,62,68,62,70,68,65,0.22,0.32,0.22,0.22,0.51,0.22,
Dynamite,TEC,决斗者,决斗者,73,68,73,-5,4,1099,68,61,71,82,71,78,77,71,68,68,76,71,0.73,0.87,0.73,0.73,0.0,0.73,clutch:no-data
nightz,ENVY,决斗者,决斗者,78,83,78,5,1,424,74,74,74,97,71,88,83,82,72,79,73,79,0.51,0.67,0.51,0.51,0.69,0.51,
Klaus,VL,控场,决斗者,70,75,69,5,3,510,64,66,78,83,84,77,65,67,67,79,73,66,0.56,0.71,0.56,0.56,0.73,0.56,
Zeus,TS,决斗者,决斗者,81,76,83,-5,2,447,78,70,70,70,81,78,86,89,77,68,77,77,0.53,0.81,0.53,0.53,0.55,0.53,
Kippei,QTD,控场,控场,62,67,65,5,1,124,69,78,69,68,64,68,51,50,63,75,52,68,0.24,0.33,0.24,0.24,0.51,0.24,
Kachoww,FF,决斗者,决斗者,88,93,92,5,1,341,92,99,81,70,77,80,92,92,86,77,90,84,0.46,0.72,0.46,0.46,0.44,0.46,
Favian,EF,决斗者,决斗者,82,77,82,-5,3,829,79,73,70,73,83,71,88,84,75,72,88,73,0.67,0.84,0.67,0.67,0.78,0.67,
Fizzy,SGE,控场,控场,80,75,82,-5,1,236,70,75,72,74,84,74,70,75,81,88,83,80,0.37,0.46,0.37,0.37,0.6,0.37,
Jesse,GX,控场,控场,63,68,60,5,1,338,60,56,64,76,89,69,51,55,61,76,62,67,0.46,0.51,0.46,0.46,0.7,0.46,
f4ngeer,AG,决斗者,决斗者,87,82,86,-5,4,1215,84,91,78,60,66,65,94,96,79,70,94,74,0.75,0.9,0.75,0.75,0.29,0.75,
FT,BLG,决斗者,决斗者,56,61,56,5,1,545,60,59,71,73,71,66,57,55,55,61,56,54,0.58,0.67,0.58,0.58,0.0,0.58,clutch:no-data
FKEY,TE,先锋,先锋,58,63,58,5,1,616,70,70,51,71,71,61,56,53,55,72,51,56,0.61,0.73,0.61,0.61,0.0,0.61,clutch:no-data
Leviathan,FS,控场,控场,73,68,70,-5,3,547,75,60,68,66,83,64,68,66,74,83,74,74,0.58,0.64,0.58,0.58,0.8,0.58,
nerve,FUR,控场,控场,70,65,67,-5,3,504,65,63,75,65,66,67,58,57,75,79,65,74,0.56,0.57,0.56,0.56,0.76,0.56,
Kai,TE,决斗者,决斗者,79,75,80,-4,11,1534,78,83,73,61,65,65,89,81,75,67,76,70,0.79,0.9,0.79,0.79,0.26,0.79,
LuoK1ng,TE,控场,控场,79,75,76,-4,10,1215,68,69,76,82,58,80,68,63,81,87,78,85,0.75,0.78,0.75,0.75,0.29,0.75,
MaKo,KRX,控场,控场,87,83,86,-4,12,1773,76,78,81,81,71,84,82,79,89,94,87,93,0.82,0.88,0.82,0.82,0.92,0.82,
BuZz,T1,决斗者,决斗者,86,82,82,-4,13,1877,78,82,78,73,74,78,88,92,78,71,89,76,0.82,0.93,0.82,0.82,0.86,0.82,
benjyfishy,TH,哨卫,哨卫,78,82,77,4,15,1837,75,74,81,75,87,80,80,78,82,78,83,76,0.82,0.88,0.82,0.82,0.91,0.82,
BeYN,KRX,先锋,先锋,80,76,76,-4,10,1623,73,78,80,68,88,73,70,70,85,84,84,83,0.8,0.84,0.8,0.8,0.91,0.8,
Life,DRG,决斗者,决斗者,69,65,66,-4,13,1534,76,68,65,60,61,61,79,77,57,56,71,55,0.79,0.92,0.79,0.79,0.37,0.79,
Derrek,EG,先锋,先锋,77,73,80,-4,6,325,82,77,73,68,65,70,77,71,81,80,75,78,0.45,0.46,0.45,0.45,0.72,0.45,
Ethan,NRG,先锋,先锋,84,88,77,4,12,1961,71,72,76,93,71,92,71,71,83,89,82,88,0.83,0.89,0.83,0.83,0.88,0.83,
Asuna,100T,决斗者,决斗者,87,91,84,4,10,1468,69,71,93,99,72,99,84,87,87,85,87,93,0.79,0.89,0.79,0.79,0.85,0.79,
havoc,FUR,决斗者,决斗者,58,62,59,4,5,150,70,62,60,67,68,63,63,67,50,53,54,51,0.27,0.58,0.27,0.27,0.36,0.27,
tuyz,FX,控场,控场,70,66,65,-4,8,406,66,62,71,69,71,68,55,62,68,77,62,71,0.5,0.56,0.5,0.5,0.75,0.5,
Viva,TE,先锋,先锋,76,72,73,-4,10,980,70,70,82,70,61,75,67,61,84,83,70,82,0.71,0.7,0.71,0.71,0.43,0.71,
monk,AT,控场,控场,72,76,71,4,6,257,70,72,72,80,71,78,63,58,71,83,70,75,0.39,0.4,0.39,0.39,0.0,0.39,clutch:no-data
Eren,AT,哨卫,哨卫,70,74,76,4,4,188,76,71,73,72,71,77,76,75,69,70,60,68,0.32,0.42,0.32,0.32,0.0,0.32,clutch:no-data
SSeeS,DFM,控场,控场,65,69,63,4,7,1109,55,56,75,81,65,77,51,50,66,77,56,71,0.73,0.77,0.73,0.73,0.89,0.73,
Dep,ZETA,决斗者,决斗者,76,72,81,-4,6,244,76,75,69,67,73,68,82,82,69,65,77,66,0.38,0.65,0.38,0.38,0.54,0.38,
crazyguy,RRQ,控场,先锋,71,75,68,4,9,1511,71,64,66,85,64,78,62,65,70,83,66,76,0.79,0.86,0.79,0.79,0.91,0.79,
grubinho,GX,控场,控场,72,76,76,4,9,884,70,72,69,77,85,75,67,67,73,80,74,77,0.69,0.79,0.69,0.69,0.85,0.69,
purp0,TL,决斗者,决斗者,74,70,72,-4,8,1341,66,73,89,61,66,72,74,80,76,63,75,71,0.77,0.89,0.77,0.77,0.88,0.77,
marteen,M8,决斗者,决斗者,93,97,91,4,11,1347,91,90,88,82,85,88,95,95,88,78,96,88,0.77,0.9,0.77,0.77,0.87,0.77,
Fit1nho,GX,先锋,决斗者,66,70,67,4,3,77,70,70,72,73,68,71,66,70,63,70,64,64,0.16,0.26,0.16,0.16,0.28,0.16,
sh1n,KC,控场,控场,68,72,72,4,4,131,68,70,74,74,66,75,57,58,69,74,60,72,0.25,0.31,0.25,0.25,0.5,0.25,
Shao,NAVI,控场,先锋,80,76,77,-4,7,573,75,78,77,70,84,73,73,68,85,84,82,83,0.59,0.66,0.59,0.59,0.8,0.59,
westside,GX,哨卫,哨卫,74,70,72,-4,7,1160,81,73,62,63,77,63,80,78,71,74,77,65,0.74,0.86,0.74,0.74,0.88,0.74,
silentzz,KRÜ,哨卫,哨卫,64,68,64,4,4,430,69,75,69,69,64,68,64,70,65,63,61,60,0.52,0.64,0.52,0.52,0.71,0.52,
Dantedeu5,KRÜ,决斗者,决斗者,57,53,57,-4,3,853,59,49,62,75,54,73,58,66,51,56,47,57,0.68,0.87,0.68,0.68,0.65,0.68,
PROFEK,VIT,控场,控场,85,81,82,-4,7,1567,71,85,85,76,73,78,75,76,88,90,82,88,0.8,0.84,0.8,0.8,0.9,0.8,
MONSTEERR,SGE,哨卫,哨卫,80,76,79,-4,2,345,82,68,67,73,81,71,88,82,78,76,87,71,0.46,0.57,0.46,0.46,0.73,0.46,
UNFAKE,JL,先锋,先锋,64,60,61,-4,3,558,67,67,71,61,56,64,55,57,67,70,59,64,0.58,0.61,0.58,0.58,0.79,0.58,
flyuh,MKOI,控场,先锋,62,66,61,4,3,203,74,67,63,67,68,68,59,56,61,71,52,62,0.34,0.47,0.34,0.34,0.49,0.34,
Filu,NAVI,决斗者,决斗者,69,65,66,-4,5,564,69,67,69,67,69,66,75,78,61,61,69,57,0.59,0.79,0.59,0.59,0.69,0.59,
Killua,FS,先锋,先锋,85,81,82,-4,6,1337,88,82,80,71,67,80,84,82,90,86,81,87,0.77,0.81,0.77,0.77,0.89,0.77,
TenTen,TS,决斗者,决斗者,61,57,59,-4,3,198,64,52,61,69,75,66,63,69,52,56,62,53,0.33,0.64,0.33,0.33,0.46,0.33,
Coco,TEC,控场,控场,86,82,85,-4,5,1261,82,72,75,82,71,80,85,72,88,92,78,89,0.76,0.78,0.76,0.76,0.0,0.76,clutch:no-data
Juicy,WOL,决斗者,决斗者,65,69,69,4,4,362,70,67,65,73,81,69,68,69,57,62,67,58,0.47,0.72,0.47,0.47,0.2,0.47,
erde,LOUD,控场,控场,82,78,87,-4,2,763,80,81,75,73,75,74,73,71,82,90,77,84,0.66,0.77,0.66,0.66,0.81,0.66,
Zanatsu,FX,决斗者,决斗者,69,65,68,-4,1,98,73,61,65,73,58,69,77,81,58,63,60,60,0.2,0.43,0.2,0.2,0.33,0.2,
Caedye,DFM,哨卫,哨卫,67,71,65,4,3,932,71,68,63,78,74,73,71,71,63,70,65,62,0.7,0.81,0.7,0.7,0.79,0.7,
Misaya,QTD,先锋,先锋,57,61,53,4,1,124,64,75,62,67,59,62,48,47,54,73,47,60,0.24,0.24,0.24,0.24,0.43,0.24,
kozzy,EP,决斗者,决斗者,86,82,89,-4,1,312,85,81,71,63,88,68,93,93,78,68,92,73,0.44,0.7,0.44,0.44,0.54,0.44,
Lar0k,BBL,决斗者,决斗者,80,76,79,-4,4,852,71,75,77,78,73,76,84,81,75,71,81,75,0.68,0.84,0.68,0.68,0.79,0.68,
musashi,SGE,先锋,先锋,66,70,66,4,1,236,68,81,68,69,78,68,60,66,62,75,70,65,0.37,0.52,0.37,0.37,0.53,0.37,
ExiT,NAVI,决斗者,决斗者,65,61,64,-4,1,388,70,54,59,71,69,70,70,76,54,56,60,56,0.49,0.77,0.49,0.49,0.54,0.49,
koshmaras,TH,决斗者,决斗者,76,72,74,-4,3,895,66,68,74,83,72,84,77,82,72,72,72,76,0.69,0.87,0.69,0.69,0.77,0.69,
P0PPIN,ENVY,先锋,先锋,61,65,60,4,2,352,69,65,61,70,67,67,54,60,58,72,54,63,0.47,0.6,0.47,0.47,0.61,0.47,
Bati,LOUD,控场,控场,59,63,56,4,1,115,62,53,62,77,53,71,45,48,55,76,50,64,0.22,0.29,0.22,0.22,0.39,0.22,
ZynX,GEN,决斗者,决斗者,59,63,62,4,2,259,69,62,65,71,60,68,65,64,53,55,52,52,0.39,0.6,0.39,0.39,0.5,0.39,
bud,BLG,先锋,先锋,59,63,59,4,1,251,69,57,65,68,71,65,54,50,61,73,53,58,0.39,0.43,0.39,0.39,0.0,0.39,clutch:no-data
RieNs,TH,先锋,先锋,92,89,89,-3,15,1837,99,91,82,72,80,81,93,85,95,91,91,92,0.82,0.86,0.82,0.82,0.91,0.82,
Shyy,FUR,哨卫,哨卫,84,81,83,-3,8,975,74,79,87,72,74,79,82,79,90,81,86,81,0.71,0.77,0.71,0.71,0.89,0.71,
AAAAY,FPX,控场,哨卫,84,81,82,-3,12,1106,85,86,85,69,68,73,89,77,92,86,80,79,0.73,0.71,0.73,0.73,0.16,0.73,
BerLIN,JDG,先锋,先锋,73,76,70,3,11,1317,74,62,71,80,68,79,67,61,73,83,70,80,0.77,0.83,0.77,0.77,0.14,0.77,
trent,G2,先锋,先锋,91,94,90,3,16,2420,90,90,95,78,81,88,89,82,96,93,95,94,0.86,0.88,0.86,0.86,0.94,0.86,
Foxy9,VL,控场,哨卫,81,78,78,-3,10,1006,82,83,74,66,83,70,84,83,84,82,85,76,0.72,0.84,0.72,0.72,0.83,0.72,
something,PRX,决斗者,决斗者,89,86,86,-3,16,2415,74,91,94,67,78,76,89,92,85,72,89,81,0.86,0.94,0.86,0.86,0.93,0.86,
MrFaliN,FUT,控场,先锋,73,76,74,3,9,528,71,70,66,83,68,75,70,66,71,82,74,75,0.57,0.68,0.57,0.57,0.77,0.57,
Palla,FX,决斗者,决斗者,64,61,63,-3,3,197,75,59,58,67,59,64,73,77,50,54,58,50,0.33,0.65,0.33,0.33,0.38,0.33,
Abo,TE,控场,哨卫,71,68,69,-3,8,762,71,69,68,68,71,67,73,67,70,76,74,65,0.66,0.75,0.66,0.66,0.0,0.66,clutch:no-data
aluba,WOL,先锋,先锋,72,69,69,-3,4,569,69,67,74,68,71,72,63,61,79,79,65,76,0.59,0.52,0.59,0.59,0.0,0.59,clutch:no-data
sScary,FPX,控场,控场,77,74,83,-3,4,157,71,76,72,75,70,75,70,68,80,82,76,81,0.28,0.32,0.28,0.28,0.39,0.28,
stax,T1,先锋,先锋,81,84,75,3,12,1593,71,79,86,80,80,81,65,63,85,89,80,84,0.8,0.8,0.8,0.8,0.9,0.8,
N4RRATE,KC,哨卫,先锋,89,86,88,-3,13,1422,93,95,78,69,69,79,88,88,90,87,88,91,0.78,0.88,0.78,0.78,0.88,0.78,
nAts,TL,控场,哨卫,88,85,84,-3,13,1792,83,80,82,76,79,82,89,86,90,89,88,84,0.82,0.89,0.82,0.82,0.92,0.82,
Zyppan,M8,决斗者,先锋,64,67,64,3,5,215,75,68,64,70,59,69,64,67,62,65,63,67,0.35,0.53,0.35,0.35,0.49,0.35,
paTiTek,EP,控场,先锋,73,76,72,3,11,1022,67,77,77,78,63,80,60,68,79,83,68,81,0.72,0.79,0.72,0.72,0.86,0.72,
qck,2G,决斗者,决斗者,60,63,59,3,4,189,68,64,68,69,61,68,62,68,50,52,62,50,0.32,0.58,0.32,0.32,0.39,0.32,
neT,GX,先锋,先锋,67,64,65,-3,5,672,76,73,69,62,60,65,63,64,69,72,62,68,0.63,0.73,0.63,0.63,0.82,0.63,
jakee,FUR,控场,控场,68,71,87,3,2,24,72,69,71,72,71,72,65,67,63,74,68,68,0.06,0.06,0.06,0.06,0.06,0.06,
doma,JL,哨卫,哨卫,71,74,71,3,2,306,62,71,81,74,75,77,62,69,77,75,73,72,0.43,0.49,0.43,0.43,0.65,0.43,
Akeman,KBG,决斗者,决斗者,58,61,61,3,4,532,65,57,58,71,79,66,63,64,50,55,51,52,0.57,0.81,0.57,0.57,0.17,0.57,
Okeanos,EG,控场,决斗者,72,75,70,3,3,471,67,60,75,86,70,80,70,74,69,76,67,72,0.54,0.68,0.54,0.54,0.66,0.54,
LewN,KC,决斗者,决斗者,82,79,81,-3,6,1174,83,81,73,60,77,66,90,91,72,65,84,68,0.75,0.9,0.75,0.75,0.8,0.75,
Persia,NS,控场,控场,83,80,85,-3,3,320,70,77,79,79,80,79,71,74,85,89,81,85,0.44,0.53,0.44,0.44,0.68,0.44,
gyen,DFM,哨卫,控场,67,64,72,-3,3,209,73,69,65,66,65,64,67,68,65,75,65,66,0.34,0.49,0.34,0.34,0.6,0.34,
CyvOph,NAVI,决斗者,决斗者,73,76,70,3,3,506,60,55,81,99,67,90,70,73,78,80,69,81,0.56,0.66,0.56,0.56,0.69,0.56,
Bai,AG,哨卫,哨卫,65,68,65,3,3,705,66,66,70,74,71,73,64,61,67,70,61,64,0.64,0.71,0.64,0.64,0.0,0.64,clutch:no-data
FireBallOps,C9,哨卫,哨卫,72,69,71,-3,1,412,77,72,71,64,64,69,78,77,71,70,69,65,0.51,0.67,0.51,0.51,0.72,0.51,
bao,EG,哨卫,哨卫,69,72,66,3,3,792,65,63,71,80,76,77,66,64,70,75,67,69,0.66,0.76,0.66,0.66,0.83,0.66,
Paincakes,EG,先锋,先锋,66,69,62,3,2,497,65,68,72,72,72,70,54,59,68,75,61,69,0.55,0.56,0.55,0.55,0.77,0.55,
Ray,ONG,控场,控场,78,75,89,-3,1,231,84,88,72,66,58,70,79,77,79,81,72,78,0.37,0.53,0.37,0.37,0.66,0.37,
Xiesta,ONG,决斗者,决斗者,84,81,90,-3,1,231,77,78,75,79,79,79,86,89,78,75,88,80,0.37,0.63,0.37,0.37,0.31,0.37,
eKo,ZETA,决斗者,决斗者,76,73,72,-3,3,753,68,63,75,85,65,82,77,78,73,71,78,76,0.65,0.81,0.65,0.65,0.83,0.65,
oonzmlp,VL,哨卫,哨卫,81,84,77,3,3,754,73,72,76,92,83,86,81,78,81,85,81,82,0.65,0.77,0.65,0.65,0.82,0.65,
yatsuka,DFM,决斗者,决斗者,67,70,66,3,3,932,62,59,76,81,83,77,66,65,65,65,73,67,0.7,0.83,0.7,0.7,0.84,0.7,
Pkm,QTD,决斗者,决斗者,63,66,62,3,1,124,70,70,63,65,76,61,67,72,52,54,63,52,0.24,0.47,0.24,0.24,0.35,0.24,
seph1roth,FS,哨卫,哨卫,57,60,57,3,1,488,66,68,67,59,65,63,57,62,59,61,51,54,0.55,0.68,0.55,0.55,0.75,0.55,
Kolosha,NAVI,决斗者,决斗者,57,54,51,-3,2,165,63,49,61,73,61,67,58,64,51,57,52,55,0.29,0.56,0.29,0.29,0.27,0.29,
GREEN,NOVA,控场,控场,58,61,59,3,2,236,70,67,60,63,71,60,59,51,56,68,49,55,0.37,0.46,0.37,0.37,0.0,0.37,clutch:no-data
Youze,AG,决斗者,决斗者,52,55,52,3,1,213,60,52,61,71,71,64,52,53,51,56,50,52,0.35,0.58,0.35,0.35,0.0,0.35,clutch:no-data
sturNN,ULF,控场,控场,54,57,51,3,1,103,67,61,60,62,62,61,51,52,52,62,52,52,0.2,0.33,0.2,0.2,0.43,0.2,
yetujey,FUT,哨卫,哨卫,81,79,79,-2,12,1715,74,76,80,73,80,75,82,79,83,81,84,77,0.81,0.87,0.81,0.81,0.94,0.81,
MiniBoo,TL,决斗者,决斗者,81,79,81,-2,13,1296,79,80,72,65,85,70,88,90,73,66,87,71,0.76,0.92,0.76,0.76,0.8,0.76,
whzy,BLG,决斗者,决斗者,85,83,86,-2,12,1613,84,85,75,69,69,73,91,94,82,73,85,79,0.8,0.92,0.8,0.8,0.24,0.8,
runneR,JL,决斗者,决斗者,79,77,75,-2,7,535,70,69,77,85,71,81,80,83,76,74,80,79,0.57,0.74,0.57,0.57,0.73,0.57,
tex,MIBR,哨卫,哨卫,61,63,60,2,11,1433,65,63,64,63,77,62,60,66,59,63,61,56,0.78,0.88,0.78,0.78,0.9,0.78,
JitBoyS,FS,决斗者,决斗者,72,70,72,-2,11,1501,68,68,77,74,64,75,75,75,73,70,75,72,0.79,0.91,0.79,0.79,0.86,0.79,
Crws,FS,控场,控场,62,64,63,2,10,1362,55,57,68,71,84,66,50,52,63,75,64,67,0.77,0.84,0.77,0.77,0.9,0.77,
bang,100T,控场,控场,89,87,87,-2,13,1708,76,83,88,78,86,82,82,81,92,94,92,93,0.81,0.85,0.81,0.81,0.9,0.81,
Meiy,DFM,决斗者,决斗者,88,86,88,-2,9,1214,89,94,77,56,67,70,93,95,85,70,91,78,0.75,0.9,0.75,0.75,0.85,0.75,
Jremy,TS,决斗者,决斗者,73,71,77,-2,5,205,73,71,69,68,74,71,76,78,69,65,73,66,0.34,0.66,0.34,0.34,0.42,0.34,
TakaS,M8,决斗者,决斗者,65,67,63,2,3,67,70,66,67,71,72,69,68,71,57,62,68,57,0.14,0.37,0.14,0.14,0.18,0.14,
MAGNUM,EP,哨卫,哨卫,83,85,79,2,7,783,73,67,74,88,94,84,81,81,79,85,87,82,0.66,0.78,0.66,0.66,0.81,0.66,
Jamppi,VIT,先锋,先锋,81,79,76,-2,10,1644,80,74,68,75,88,77,75,79,79,85,82,83,0.8,0.89,0.8,0.8,0.89,0.8,
Verno,MIBR,先锋,先锋,88,86,86,-2,8,1370,84,86,91,70,90,81,83,76,94,90,91,91,0.77,0.81,0.77,0.77,0.9,0.77,
ComeBack,NAVI,决斗者,决斗者,72,70,74,-2,3,445,73,78,68,61,74,62,77,80,64,62,72,62,0.53,0.78,0.53,0.53,0.64,0.53,
Francis,NS,决斗者,决斗者,84,82,82,-2,7,1548,72,73,80,87,72,87,83,84,80,76,79,84,0.79,0.91,0.79,0.79,0.86,0.79,
thyy,FS,决斗者,决斗者,70,72,70,2,3,441,67,71,78,77,65,78,71,72,72,66,65,72,0.52,0.69,0.52,0.52,0.69,0.52,
SyouTa,ZETA,控场,哨卫,65,67,62,2,5,844,75,71,62,64,77,64,67,69,63,69,65,55,0.68,0.79,0.68,0.68,0.86,0.68,
vora,100T,先锋,先锋,81,79,77,-2,3,1033,73,76,83,73,79,79,72,68,87,87,79,86,0.72,0.77,0.72,0.72,0.86,0.72,
Timotino,100T,决斗者,决斗者,81,79,79,-2,3,1033,77,78,68,75,91,74,85,90,70,70,86,72,0.72,0.91,0.72,0.72,0.76,0.72,
Reduxx,SEN,控场,决斗者,82,80,78,-2,3,740,72,77,81,83,62,84,85,88,79,84,73,81,0.65,0.81,0.65,0.65,0.74,0.65,
Darker,LOUD,控场,控场,78,76,76,-2,3,963,73,74,70,77,75,78,73,71,79,84,72,80,0.71,0.77,0.71,0.71,0.84,0.71,
GLYPH,ENVY,控场,控场,76,74,73,-2,4,1018,61,75,81,74,75,77,60,64,82,84,71,83,0.72,0.72,0.72,0.72,0.87,0.72,
yong,KRX,哨卫,哨卫,73,71,71,-2,2,615,78,75,68,68,67,69,80,77,72,70,70,67,0.61,0.76,0.61,0.61,0.78,0.61,
Cloudy,ONG,先锋,先锋,56,58,54,2,1,231,62,62,66,63,66,61,51,52,55,65,53,56,0.37,0.41,0.37,0.37,0.62,0.37,
hezacoil,FF,控场,控场,81,83,87,2,1,341,74,80,82,73,94,77,68,68,84,89,83,84,0.46,0.59,0.46,0.46,0.72,0.46,
s0pp,FUT,决斗者,决斗者,86,84,84,-2,3,1187,79,88,73,70,86,76,88,92,81,73,90,78,0.75,0.91,0.75,0.75,0.8,0.75,
bipo,M8,决斗者,决斗者,57,55,56,-2,4,843,56,57,70,65,60,64,56,67,55,55,54,52,0.68,0.84,0.68,0.68,0.81,0.68,
swagzor,NOVA,决斗者,决斗者,83,81,84,-2,2,594,86,82,69,65,71,73,91,92,78,67,76,75,0.6,0.84,0.6,0.6,0.0,0.6,clutch:no-data
zhe,JDG,决斗者,决斗者,81,79,84,-2,3,1216,74,79,84,70,71,78,84,81,79,73,84,78,0.75,0.89,0.75,0.75,0.0,0.75,clutch:no-data
crownfisher,JDG,控场,控场,71,69,71,-2,1,691,73,63,67,73,71,69,66,61,70,80,66,72,0.63,0.68,0.63,0.63,0.0,0.63,clutch:no-data
alym,FUR,决斗者,决斗者,68,66,66,-2,3,504,66,65,64,72,82,69,70,80,57,60,72,60,0.56,0.82,0.56,0.56,0.52,0.56,
baha,FUT,控场,控场,56,58,52,2,1,110,67,62,58,62,76,57,53,54,52,65,56,55,0.22,0.28,0.22,0.22,0.33,0.22,
aspas,MIBR,决斗者,决斗者,90,91,89,1,13,1635,84,99,95,57,64,75,93,96,89,70,91,81,0.8,0.92,0.8,0.8,0.89,0.8,
Kicks,TL,控场,控场,78,79,76,1,10,1047,64,70,78,80,87,79,64,63,81,87,78,84,0.72,0.77,0.72,0.72,0.86,0.72,
Wo0t,TH,决斗者,决斗者,85,86,87,1,13,1787,78,84,87,75,76,83,88,89,87,77,89,84,0.82,0.92,0.82,0.82,0.87,0.82,
Flex1n,DRG,控场,控场,81,80,79,-1,11,1224,68,67,76,91,53,88,71,67,84,90,79,89,0.75,0.8,0.75,0.75,0.43,0.75,
Jinggg,PRX,决斗者,决斗者,91,90,87,-1,14,2361,78,84,93,85,72,93,90,91,89,81,88,89,0.86,0.93,0.86,0.86,0.9,0.86,
JonahP,SEN,先锋,先锋,79,78,75,-1,13,1513,68,67,74,81,75,81,68,71,83,88,76,87,0.79,0.85,0.79,0.79,0.9,0.79,
Governor,KRÜ,先锋,先锋,55,54,54,-1,7,335,66,61,49,59,72,56,52,61,50,62,58,52,0.46,0.69,0.46,0.46,0.61,0.46,
Boaster,FNC,控场,控场,65,64,62,-1,13,1815,46,50,71,78,71,71,49,50,61,76,59,69,0.82,0.87,0.82,0.82,0.89,0.82,
moose,C9,控场,哨卫,71,70,67,-1,2,80,69,73,73,66,75,68,66,68,74,76,71,68,0.17,0.22,0.17,0.17,0.41,0.17,
Pa1nt,MIBR,决斗者,决斗者,70,69,49,-1,1,6,71,68,70,71,71,71,75,78,61,63,68,63,0.01,0.04,0.01,0.01,0.01,0.01,
Ninebody,TYL,决斗者,决斗者,74,73,77,-1,5,268,72,75,74,71,71,70,79,80,68,66,70,67,0.4,0.59,0.4,0.4,0.0,0.4,clutch:no-data
stew,JDG,决斗者,决斗者,86,85,87,-1,8,828,78,82,84,80,71,85,91,82,84,77,90,84,0.67,0.8,0.67,0.67,0.0,0.67,clutch:no-data
sword9,TYL,先锋,先锋,66,65,64,-1,6,785,62,63,75,66,71,68,55,53,73,75,60,71,0.66,0.67,0.66,0.66,0.0,0.66,clutch:no-data
coldfish,TYL,先锋,控场,70,71,73,1,3,82,71,73,75,69,71,69,65,61,75,78,64,73,0.17,0.09,0.17,0.17,0.0,0.17,clutch:no-data
cb,NOVA,决斗者,决斗者,73,74,73,1,9,1043,65,65,83,84,70,81,76,68,71,71,82,73,0.72,0.83,0.72,0.72,0.22,0.72,
SiuFatBB,TYL,先锋,先锋,73,74,68,1,8,1351,63,68,86,70,89,73,61,59,78,80,76,76,0.77,0.73,0.77,0.77,0.51,0.77,
invy,PRX,先锋,先锋,91,90,88,-1,11,1899,90,86,88,79,69,86,89,80,95,93,91,93,0.83,0.86,0.83,0.83,0.91,0.83,
Jemkin,RRQ,哨卫,决斗者,85,84,89,-1,11,1551,82,93,85,56,79,68,93,95,84,76,94,78,0.8,0.92,0.8,0.8,0.89,0.8,
JessieVash,TS,先锋,先锋,70,71,69,1,8,505,72,73,73,69,71,71,65,62,74,74,69,71,0.56,0.57,0.56,0.56,0.77,0.56,
nataNk,MKOI,哨卫,先锋,69,70,71,1,5,210,77,72,62,65,86,66,70,70,64,70,74,68,0.34,0.59,0.34,0.34,0.53,0.34,
kamo,TL,决斗者,决斗者,83,84,81,1,13,1856,84,80,81,74,72,80,90,89,77,69,83,76,0.82,0.93,0.82,0.82,0.86,0.82,
